song,artist
"Yesterday, When I Was Young",Roy Clark
Take Me To Texas,George Strait
Get It Right,Glee
Early One Morning,Traditional
That's Amore,Dean Martin
I Will Fall,Sam Palladio and Clare Bowen
I'm So Happy I Can't Stop Crying,Sting
End of the Road,Boyz II Men
Isn't It Romantic?,Maurice Chevalier
Visions,Cliff Richard
Blasphemous Rumours,Depeche Mode
California Nights,Lesley Gore
Don't Fight It,The Panics
Sexx Laws,Beck
Play That Funky Music,Wild Cherry
Hands of Gold,Ed Sheeran
Keep Your Money,Empire Cast
Murder on the Dancefloor,Sophie Ellis-Bextor
Don't Cry Genocide,Pussy Riot
Happy-Go-Lucky Me,Paul Evans
What Is Love,Haddaway
Especially For You,Kylie Minogue
Is There a Ghost,Band of Horses
Please Don't Go,KC & The Sunshine Band
Maybe It's Because I'm A Londoner,Bud Flanagan
Happy Trails,Roy Rogers & Dale Evans
Overkill,Men at Work
Ironic,Alanis Morissette
Darling Be Home Soon,The Lovin' Spoonful
Rhiannon,Fleetwood Mac
Hourglass,Empire Cast
The Right Kind Of Love,Jeremy Jordan
You'll Never Find Another Love Like Mine,Lou Rawls
Return Of The Mack,Mark Morrison
Front Row,Metric
Particle Man,They Might Be Giants
